zone_id,entry_date,r_multiple,outcome,type,structure,width_atr,base_length,base_wick_frac,avg_atr,departure_body_atr,departure_close_ratio,leg_out_clear_atr,leg_out_disp_atr,leg_out_candles,leg_out_velocity,leg_out_vol_exp,leg_in_disp_atr,leg_in_candles,leg_in_velocity,disp_base_ratio,arrival_cleanliness,departure_volume_ratio,base_volume_ratio,trend_score,trend_aligned,weekly_trend_align,weekly_in_zone,weekly_dist_atr,weekly_zone_strength,weekly_zone_fresh,weekly_confluence_score,weekly_confirmed,freshness_score,strength_pit,symbol,label,is_demand,struct_DBD,struct_DBR,struct_RBD,struct_RBR
Z0072,2025-05-14,0.4206,timeout,demand,DBR,0.9564,1,0.3665,16.3399,1.1761,0.9433,1.1346,0.0,1,0.0,1.6397,0.0446,3,0.0149,0.0,0.3333,0.7136615435472548,0.6381,1.0,1,0,0,12.2248,0.6621,0,0.2074,0,0.45,0.7549,HDFCBANK.NS,1,1,0,1,0,0
Z0085,2025-05-22,0.2854,timeout,demand,DBR,1.093,3,0.507,68.8398,1.5987,0.9213,1.9866,0.0,1,0.0,2.0452,0.1662,3,0.0554,0.0,0.3333,0.862095519323874,0.7526,0.0,0,0,1,0.0,0.7199,0,0.769,1,0.45,0.518,TCS.NS,1,1,0,1,0,0
Z0058,2025-06-06,-1.0,loss,supply,DBD,1.4353,3,0.7468,1.4445,0.8004,0.8274,3.05,2.6359,3,0.8786,1.5508,0.1863,3,0.0621,1.8365,0.6667,0.8956769903850519,0.4737,1.0,1,0,1,0.0,0.7841,1,0.9568,1,0.45,0.6291,IDFCFIRSTB.NS,0,0,1,0,0,0
Z0096,2025-06-11,2.0,win,supply,DBD,1.0382,1,0.3701,23.9939,1.2231,0.8965,3.8056,1.4979,3,0.4993,2.2802,0.5816,3,0.1939,1.4428,0.3333,2.376496921139626,1.1255,0.706,1,0,0,2.5689,0.622,0,0.1994,0,0.65,0.3876,RELIANCE.NS,1,0,1,0,0,0
Z0107,2025-06-20,2.0,win,supply,RBD,0.63,3,0.5761,265.0199,1.0424,0.8318,1.271,0.64,2,0.32,1.2465,1.6701,3,0.5567,1.0159,1.0,0.8524173027989822,0.7453,0.0,0,0,1,0.0,0.6728,0,0.723,1,0.85,0.8255,^NSEI,1,0,0,0,1,0
Z0086,2025-07-02,2.0,win,supply,RBD,0.5705,1,0.8339,53.8023,1.2107,0.9125,1.6899,1.0336,4,0.2584,1.1054,0.4363,3,0.1454,1.8119,0.6667,1.1364590498344085,0.9144,1.0,1,0,0,2.3708,0.5455,0,0.1841,0,0.85,0.7748,TCS.NS,1,0,0,0,1,0
Z0108,2025-07-11,-0.3669,timeout,demand,RBR,1.8645,3,0.6212,264.3369,1.0594,0.9466,1.211,0.3359,2,0.168,2.2302,1.2259,3,0.4086,0.1802,0.6667,1.2120612671678064,0.8741,1.0,1,0,0,9.0586,0.7251,0,0.2948,0,0.85,0.8693,^NSEI,0,1,0,0,0,1
Z0101,2025-07-16,-1.0,loss,demand,RBR,1.3688,3,0.6753,23.9015,1.0868,0.8961,2.215,1.373,4,0.3432,1.046,1.5016,3,0.5005,1.003,1.0,1.3645096810029465,0.9408,1.0,1,0,0,2.7698,0.7402,0,0.223,0,0.85,0.5873,RELIANCE.NS,0,1,0,0,0,1
Z0073,2025-07-18,2.0,win,demand,RBR,1.4772,3,0.6823,13.2066,1.4846,0.8875,2.0235,0.561,2,0.2805,2.6317,1.7528,3,0.5843,0.3798,1.0,2.4672574344209024,0.9127,1.0,1,0,0,17.2932,0.6621,0,0.2074,0,0.65,0.6422,HDFCBANK.NS,1,1,0,0,0,1
Z0064,2025-08-01,2.0,win,demand,DBR,0.8122,2,0.4286,1.62,2.9164,0.8732,2.7995,0.4676,2,0.2338,3.626,0.566,3,0.1887,0.5758,0.3333,4.175795839237618,0.9957,1.0,1,0,1,0.0,0.6301,0,0.8103,1,0.45,0.5053,IDFCFIRSTB.NS,1,1,0,1,0,0
Z0074,2025-08-18,2.0,win,supply,RBD,0.9768,3,0.869,12.3871,0.7187,0.8717,1.2071,0.5718,2,0.2859,2.0162,0.2621,3,0.0874,0.5854,0.6667,0.8801924782605702,1.0474,0.0,0,0,0,6.5666,0.8724,0,0.2495,0,0.45,0.7883,HDFCBANK.NS,1,0,0,0,1,0
Z0109,2025-09-04,2.0,win,supply,DBD,0.6444,1,0.8538,197.4018,0.9496,0.9024,2.3683,1.4448,3,0.4816,1.7764,0.4848,3,0.1616,2.2422,0.6667,2.464372496223813,0.7604,0.0,0,0,1,0.0,0.6728,0,0.7688,1,0.65,0.3133,^NSEI,1,0,1,0,0,0
Z0065,2025-09-04,-1.0,loss,supply,DBD,0.8696,2,0.851,1.5755,1.1996,0.9087,1.644,0.9267,4,0.2317,0.8266,0.6474,3,0.2158,1.0657,0.6667,0.5968799677873337,0.5349,0.1019,0,0,1,0.0,0.7841,0,0.7633,1,0.85,0.8044,IDFCFIRSTB.NS,0,0,1,0,0,0
Z0075,2025-09-08,0.4281,timeout,supply,DBD,1.6591,2,0.7115,12.2734,0.7374,0.8372,1.8836,1.066,4,0.2665,1.1889,0.8977,3,0.2992,0.6425,0.6667,1.6177434443858536,1.1237,0.0,0,0,0,4.0786,0.8724,0,0.2495,0,0.45,0.5617,HDFCBANK.NS,1,0,1,0,0,0
Z0045,2025-09-10,-1.0,loss,supply,RBD,0.6691,1,0.6667,28.5284,0.9969,0.9335,1.6559,1.0307,2,0.5153,1.0237,0.8144,3,0.2715,1.5404,0.3333,0.6177068646979083,1.7985,1.0,1,0,1,0.0,0.6564,0,0.7563,1,0.65,0.796,INFY.NS,0,0,0,0,1,0
Z0088,2025-09-23,-1.0,loss,demand,DBR,0.9874,2,0.3816,47.8106,1.0823,0.8167,1.3832,0.4725,3,0.1575,0.9321,1.6477,3,0.5492,0.4785,1.0,0.7521844580034853,0.9261,0.0,0,0,1,0.0,0.718,0,0.7686,1,0.85,0.714,TCS.NS,0,1,0,1,0,0
Z0110,2025-10-03,2.0,win,demand,DBR,1.1497,2,0.4699,177.0879,1.2183,0.8792,1.7901,1.536,4,0.384,1.1143,2.564,3,0.8547,1.336,1.0,1.134806487757389,1.2778,1.0,1,0,0,11.3658,0.7251,0,0.2328,0,0.45,0.7424,^NSEI,1,1,0,1,0,0
Z0067,2025-10-14,2.0,win,demand,RBR,1.2037,2,0.7769,1.3209,1.0977,0.8381,1.3476,0.7419,2,0.371,3.0691,0.8706,3,0.2902,0.6163,0.6667,1.529182175556104,1.3417,1.0,1,0,1,0.0,0.8024,0,0.8318,1,0.65,0.9283,IDFCFIRSTB.NS,1,1,0,0,0,1
Z0048,2025-10-15,-1.0,loss,demand,RBR,1.0147,1,0.3356,27.4574,1.3342,0.9302,1.1236,0.6987,3,0.2329,0.8828,1.0533,3,0.3511,0.6886,0.6667,0.5647920918299285,0.6427,0.0,0,0,1,0.0,0.669,0,0.7588,1,0.85,0.698,INFY.NS,0,1,0,0,0,1
Z0047,2025-10-17,2.0,win,demand,DBR,0.8655,3,0.8246,27.6245,1.026,0.9233,1.9927,1.1621,4,0.2905,0.6503,1.6472,3,0.5491,1.3427,1.0,0.5397784223791596,0.806,0.0,0,0,1,0.0,0.7176,0,0.7685,1,0.85,0.6249,INFY.NS,1,1,0,1,0,0
Z0098,2025-10-17,-1.0,loss,supply,DBD,0.7833,1,0.9498,215.0014,0.943,0.9516,4.3881,2.1132,3,0.7044,1.5936,0.9049,3,0.3016,2.698,0.6667,1.378120626240927,0.8281,0.0,0,0,1,0.0,0.6406,1,0.8197,1,0.85,0.2718,^NSEI,0,0,1,0,0,0
Z0097,2025-11-20,2.0,win,supply,RBD,0.612,1,0.4498,205.7966,1.217,0.9508,5.5239,3.8691,4,0.9673,1.138,1.4315,3,0.4772,6.322,1.0,1.1552772025523177,1.6851,0.0,0,0,1,0.0,0.6406,1,0.8197,1,0.45,0.1645,^NSEI,1,0,0,0,1,0
Z0103,2025-11-25,2.0,win,demand,RBR,0.8545,3,0.8392,20.1524,0.9434,0.9256,1.0521,0.0,1,0.0,5.7258,0.6866,3,0.2289,0.0,0.6667,1.6871803583412148,0.7004,1.0,1,0,0,0.5359,0.5359,1,0.4652,0,0.45,0.9189,RELIANCE.NS,1,1,0,0,0,1
Z0049,2025-12-24,-0.2217,timeout,demand,RBR,1.8207,2,0.4298,25.9131,0.967,0.8767,1.3107,0.0,1,0.0,3.6741,0.6421,3,0.214,0.0,0.6667,2.852318333518413,1.2581,1.0,1,0,0,4.9488,0.669,0,0.2088,0,0.85,0.7597,INFY.NS,0,1,0,0,0,1
Z0089,2026-01-07,2.0,win,supply,RBD,0.8243,3,0.5821,44.2011,0.7256,0.8299,1.859,1.6179,4,0.4045,0.9495,1.7867,3,0.5956,1.9628,0.6667,0.4877216453795374,0.8329,0.4603,0,0,1,0.0,0.5455,0,0.7341,1,0.65,0.6714,TCS.NS,1,0,0,0,1,0
Z0076,2026-02-25,2.0,win,supply,DBD,1.1123,2,0.5995,15.2556,1.1252,0.9282,1.3316,1.467,4,0.3667,1.1926,0.4772,3,0.1591,1.3188,0.3333,1.102274361225471,0.7845,1.0,1,0,1,0.0,0.8724,0,0.7995,1,0.85,0.9616,HDFCBANK.NS,1,0,1,0,0,0
